round,tau,shots,count0,posterior_mean,posterior_std,abs_error
1,0.8817589096388808,256.0,234.0,0.6012316109281645,0.082341069269859,0.018768389071835534
2,3.0,256.0,90.0,0.626487955992498,0.02103936678842429,0.006487955992497962
3,3.0,256.0,80.0,0.6412703906603715,0.015158299427397413,0.021270390660371508
4,3.0,256.0,79.0,0.6474290227654167,0.012457181815415443,0.0274290227654167
5,3.0,256.0,98.0,0.6370409199444599,0.010807289151936895,0.017040919944459887
6,3.0,256.0,86.0,0.6375990400384303,0.009683964388267637,0.01759904003843027
7,3.0,256.0,95.0,0.6337120623989958,0.008847295615589258,0.013712062398995806
8,3.0,256.0,85.0,0.6349873115019257,0.008198952425119978,0.01498731150192567
9,3.0,256.0,94.0,0.6327473919901346,0.007672685489810952,0.012747391990134638
10,3.0,256.0,80.0,0.6354291184014372,0.007239292416867339,0.015429118401437236
11,3.0,256.0,111.0,0.6287603915802679,0.006866344738245089,0.008760391580267868
12,3.0,256.0,88.0,0.6292432998319468,0.006549221058481597,0.009243299831946827
13,3.0,256.0,94.0,0.6282277108097191,0.0062715570730620465,0.008227710809719069
14,3.0,256.0,101.0,0.6258433066223363,0.0060256876508836465,0.005843306622336342
